loglik,beta0,alpha_i0_1,alpha_i0_2,acceptance_beta0,acceptance_alpha_i0_1,acceptance_alpha_i0_2
-588.358,1.14262,4.28996e-05,0.000237383,0.213936,0.225988,0.231514
-588.292,1.14501,4.13264e-05,0.000231369,0.213968,0.2258,0.231297
-588.248,1.14324,4.19802e-05,0.000230896,0.213791,0.225874,0.231394
-587.826,1.14457,4.1518e-05,0.000229061,0.21346,0.225636,0.231335
-588.261,1.14496,4.10788e-05,0.000225529,0.213391,0.225452,0.231122
-588.212,1.1449,4.14497e-05,0.000232008,0.213271,0.225219,0.231321
-588.978,1.14368,4.2197e-05,0.000229166,0.213101,0.225193,0.231315
-588.931,1.14133,4.32808e-05,0.000238686,0.212933,0.225217,0.231156
-588.287,1.14286,4.22069e-05,0.000232969,0.212919,0.22509,0.230998
-588.5,1.14729,4.01143e-05,0.00022158,0.212703,0.224813,0.230792
-588.561,1.14257,4.22293e-05,0.000233491,0.212639,0.224489,0.230988
-588.276,1.144,4.15042e-05,0.000228194,0.212328,0.224417,0.230834
-587.848,1.14487,4.16802e-05,0.000232242,0.212316,0.224543,0.230781
-590.884,1.14723,4.12504e-05,0.000235259,0.212305,0.224817,0.23058
-589.421,1.14912,3.96154e-05,0.000222165,0.211999,0.22494,0.230871
-588.038,1.14548,4.11354e-05,0.0002257,0.211599,0.224867,0.230916
-588.64,1.14331,4.28969e-05,0.000238867,0.211252,0.225086,0.230668
-588.675,1.14545,4.06351e-05,0.000223649,0.211101,0.225207,0.230424
-590.117,1.14943,4.00361e-05,0.000220448,0.211432,0.22523,0.230229
-588.655,1.14467,4.10594e-05,0.000228424,0.211377,0.225205,0.230085
-590.131,1.14877,3.91844e-05,0.000218864,0.210942,0.224799,0.230037
-588.897,1.1433,4.17824e-05,0.000233048,0.210985,0.224776,0.230226
-587.909,1.14444,4.14873e-05,0.000229064,0.211028,0.224612,0.230131
-589.501,1.14575,4.03107e-05,0.000220578,0.211211,0.224684,0.230083
-588.225,1.14726,4.06463e-05,0.000224348,0.211158,0.224709,0.230316
-589.491,1.14777,3.96001e-05,0.000220433,0.21106,0.224594,0.230222
-590.467,1.1487,4.08796e-05,0.000229141,0.211287,0.224573,0.23036
-588.923,1.142,4.33857e-05,0.00023934,0.211603,0.224782,0.23022
-588.139,1.14506,4.10629e-05,0.000225947,0.211412,0.224577,0.230035
-592.596,1.13974,4.37763e-05,0.000247313,0.211406,0.224236,0.229944
-588.462,1.1446,4.23858e-05,0.000235727,0.211399,0.224399,0.230217
-588.844,1.14203,4.33187e-05,0.000238716,0.211167,0.224515,0.230216
-587.983,1.1433,4.23338e-05,0.00023429,0.211027,0.224449,0.230485
-591.74,1.13854,4.44921e-05,0.000247002,0.211425,0.224519,0.230842
-588.539,1.14558,4.11358e-05,0.000231163,0.211374,0.224633,0.230436
-588.403,1.14577,4.14441e-05,0.00023286,0.211368,0.224612,0.230256
-590.495,1.14836,3.91879e-05,0.000214822,0.211274,0.224857,0.230211
-588.307,1.14297,4.21024e-05,0.000232075,0.211136,0.224792,0.230254
-588.266,1.14472,4.16173e-05,0.000227356,0.210956,0.224902,0.230165
-589.211,1.14781,3.97985e-05,0.000218265,0.21082,0.224837,0.230165
-590.715,1.14767,3.94053e-05,0.000220781,0.210991,0.224512,0.230338
-588.633,1.14564,4.0791e-05,0.000222813,0.210727,0.224666,0.230336
-587.773,1.14517,4.12859e-05,0.000228104,0.210767,0.224344,0.230076
-587.722,1.14546,4.13692e-05,0.000229573,0.210678,0.224196,0.230076
-591.235,1.13956,4.32822e-05,0.000237379,0.210675,0.224093,0.230118
-588.363,1.1461,4.15601e-05,0.000232424,0.210672,0.224203,0.230416
-588.612,1.14432,4.19829e-05,0.000228764,0.210627,0.22427,0.230329
-588.599,1.14297,4.21487e-05,0.000234907,0.210624,0.224126,0.230328
-590.797,1.14205,4.24849e-05,0.000228463,0.210873,0.224024,0.230368
-590.049,1.15002,3.96437e-05,0.000219524,0.210702,0.224091,0.230785
-589.035,1.14224,4.24592e-05,0.000231403,0.210908,0.224324,0.230782
-587.816,1.14512,4.12591e-05,0.000227756,0.210697,0.224016,0.230779
-588.479,1.14783,4.00766e-05,0.000221739,0.210818,0.223751,0.230817
-589.975,1.14703,3.96985e-05,0.000221038,0.21065,0.223694,0.230731
-588.265,1.14514,4.10075e-05,0.0002251,0.210729,0.223843,0.230605
-588.468,1.14658,4.14313e-05,0.000230555,0.210481,0.223664,0.23048
-589.813,1.1424,4.36721e-05,0.000242515,0.210561,0.223527,0.230438
-587.979,1.14651,4.08578e-05,0.000227783,0.210518,0.223554,0.230355
-589.339,1.14849,4.01084e-05,0.000219941,0.210717,0.22366,0.230192
-590.681,1.14803,4.01921e-05,0.000229005,0.210674,0.223525,0.230392
-588.885,1.14736,4.01432e-05,0.000219814,0.210192,0.223271,0.230311
-588.56,1.14362,4.27229e-05,0.000235089,0.210111,0.223537,0.230429
-588.678,1.14754,4.08701e-05,0.000225915,0.209952,0.223563,0.230308
-591.357,1.15007,3.97099e-05,0.000217133,0.210387,0.223469,0.230347
-588.463,1.1458,4.07128e-05,0.000227178,0.210189,0.223298,0.230503
-588.662,1.14567,4.19822e-05,0.000233954,0.210188,0.223129,0.230501
-589.979,1.14801,3.99402e-05,0.000226031,0.210109,0.223116,0.230343
-587.914,1.14534,4.11123e-05,0.000228341,0.210031,0.222987,0.230186
-589.394,1.14409,4.27843e-05,0.000234711,0.209914,0.223131,0.229991
-587.889,1.14613,4.08292e-05,0.000226243,0.209837,0.223235,0.229837
-588.911,1.1424,4.27218e-05,0.000232787,0.209569,0.223107,0.229607
